"","names","idarea","code_muni"
"295","ASPÁSIA",46,3503950
"296","LORENA",309,3527207
"297","BOA ESPERANÇA DO SUL",76,3506706
"298","PRESIDENTE ALVES",464,3541109
"299","ITAPUÍ",265,3522901
"300","JUQUITIBA",299,3526209
"301","NOVA GUATAPORANGA",376,3533106
"302","SÃO MIGUEL ARCANJO",564,3550209
"303","TAGUAÍ",593,3553005
"304","NOVAIS",380,3533254
"305","SÃO JOÃO DA BOA VISTA",551,3549102
"306","PIRAPORA DO BOM JESUS",440,3539103
"307","TEODORO SAMPAIO",609,3554300
"308","SANTA ALBERTINA",515,3545704
"309","NANTES",363,3532157
"310","RIVERSUL",498,3543501
"311","MARTINÓPOLIS",331,3529203
"312","ELDORADO",165,3514809
"313","ANDRADINA",24,3502101
"314","MATÃO",332,3529302
"315","ALFREDO MARCONDES",10,3500808
"316","RINCÃO",492,3543709
"317","MARACAÍ",326,3528809
"318","TERRA ROXA",610,3554409
"319","ÁGUAS DA PRATA",4,3500402
"320","SÃO JOSÉ DO RIO PRETO",559,3549805
"321","PRESIDENTE VENCESLAU",468,3541505
"322","SANTO ANTÔNIO DO PINHAL",542,3548203
"323","PAULICÉIA",412,3536406
"324","CARDOSO",123,3510708
"325","CONCHAS",139,3512308
"326","ELIAS FAUSTO",166,3514908
"327","SÃO PEDRO",566,3550407
"328","MOGI MIRIM",348,3530805
"329","IPEÚNA",244,3521101
"330","NUPORANGA",382,3533601
"331","CAPIVARI",120,3510401
"332","LUCÉLIA",312,3527405
"333","RIO CLARO",494,3543907
"334","SANTA RITA DO PASSA QUATRO",531,3547502
"335","PINHALZINHO",432,3538204
"336","DUMONT",163,3514601
"337","JAÚ",289,3525300
"338","BOM SUCESSO DE ITARARÉ",81,3507159
"339","ITATIBA",270,3523404
"340","PEREIRA BARRETO",424,3537404
"341","JOÃO RAMALHO",292,3525607
"342","SANTO ANDRÉ",537,3547809
"343","COTIA",146,3513009
"344","ESTIVA GERBI",175,3557303
"345","LOUVEIRA",311,3527306
